Iteration;Newick
0;(((#H0,#H1),((B)#R1,(A)#R0)));
1;((((A,((B)#R1)#R0),#H0),#H1));
2;(((B)#R1,((A,(#H1)#R0),#H0)));
3;(((((B,#H1))#R0,(A)#R1),#H0));
4;((((A,#H1))#R0,((B)#R1,#H0)));
5;(((((B)#R0)#R1,(A,#H0)),#H1));
6;((((A)#R1)#R0,((B,#H1),#H0)));
7;((((A)#R0,((B)#R1,#H0)),#H1));
8;(((A,(((B)#R0)#R1,#H0)),#H1));
9;((((B)#R1,#H0),((#H1)#R0,A)));
10;(((A)#R1,((B)#R0,(#H0,#H1))));
11;((((B,#H0))#R1,((A)#R0,#H1)));
12;(((((A)#R0)#R1,(B,#H0)),#H1));
13;((((B)#R1)#R0,((A,#H0),#H1)));
14;(((#H0,#H1),(((B)#R1)#R0,A)));
15;(((B)#R0,(((A)#R1,#H0),#H1)));
16;(((#H0,#H1),((B)#R1,(A)#R0)));
17;(((((#H0)#R1,(B)#R0),#H1),A));
18;(((((B)#R1)#R0,(A,#H1)),#H0));
19;(((#H1)#R0,((B)#R1,(A,#H0))));
20;((((B)#R0)#R1,((A,#H1),#H0)));
21;((((#H0)#R1,(A)#R0),(B,#H1)));
22;((((((B,A))#R1)#R0,#H1),#H0));
23;((((A)#R1)#R0,((B,#H0),#H1)));
24;(((#H0,#H1),(((A,B))#R0)#R1));
25;((B,((((A)#R1)#R0,#H1),#H0)));
26;(((B,(((A)#R1)#R0,#H1)),#H0));
27;((((B)#R0,(A)#R1),(#H0,#H1)));
28;(((((A)#R1)#R0,#H1),(B,#H0)));
29;(((((B,(A)#R0))#R1,#H0),#H1));
30;(((((A)#R1)#R0,(#H0,#H1)),B));
31;(((((#H0)#R1,(A)#R0),B),#H1));
32;(((((A)#R0,B))#R1,(#H0,#H1)));
33;(((B)#R1,(((A)#R0,#H1),#H0)));
34;((((((B)#R0)#R1,A),#H0),#H1));
35;(((#H0,#H1),(((A,B))#R1)#R0));
36;(((#H1)#R0,((B)#R1,(A,#H0))));
37;((((A,((B)#R1)#R0),#H0),#H1));
38;(((B)#R0,(((#H0)#R1,A),#H1)));
39;((((A)#R0)#R1,((B,#H1),#H0)));
40;(((((#H1)#R0,(B)#R1),A),#H0));
41;((((#H1)#R0,((A,B))#R1),#H0));
42;((((((A,B))#R0)#R1,#H0),#H1));
43;((((#H0)#R1,((A)#R0,B)),#H1));
44;(((#H0,#H1),((B)#R1,(A)#R0)));
45;(((B)#R0,((A,(#H0)#R1),#H1)));
46;(((((A,B))#R1)#R0,(#H0,#H1)));
47;((((B,#H1))#R0,((A)#R1,#H0)));
48;(((((B)#R0)#R1,(A,#H1)),#H0));
49;(((B,((A)#R0,(#H0)#R1)),#H1));
50;((((((B)#R0)#R1,A),#H1),#H0));
51;((((A,#H1))#R0,((B)#R1,#H0)));
52;((((((A)#R0)#R1,B),#H1),#H0));
53;((((B)#R0)#R1,((A,#H1),#H0)));
54;(((#H0,#H1),((A)#R0,(B)#R1)));
55;((((B)#R0,#H1),((A)#R1,#H0)));
56;((((A)#R1,((#H1)#R0,B)),#H0));
57;((((B,((A)#R0)#R1),#H0),#H1));
58;((((B)#R1,#H0),((A)#R0,#H1)));
59;((((B,(A)#R0))#R1,(#H0,#H1)));
60;(((((A)#R0)#R1,B),(#H0,#H1)));
61;(((((B)#R0)#R1,#H0),(A,#H1)));
62;((((A,#H1))#R0,((B)#R1,#H0)));
63;(((#H1)#R0,(((A,B))#R1,#H0)));
64;(((((B)#R0)#R1,(A,#H0)),#H1));
65;((B,((((A)#R1)#R0,#H1),#H0)));
66;(((((A)#R0)#R1,(B,#H0)),#H1));
67;(((((B)#R0)#R1,(A,#H1)),#H0));
68;(((((A)#R0)#R1,(B,#H0)),#H1));
69;(((((#H1)#R0,B),#H0),(A)#R1));
70;((((B,(A)#R1),#H0),(#H1)#R0));
71;((((((A)#R0,B))#R1,#H0),#H1));
72;(((((B)#R0,#H1),(A)#R1),#H0));
73;(((#H0)#R1,((B)#R0,(A,#H1))));
74;(((((B)#R0,(A)#R1),#H0),#H1));
75;((B,((((A)#R0)#R1,#H0),#H1)));
76;(((((B)#R0,#H1),A),(#H0)#R1));
77;((((((B)#R0)#R1,A),#H0),#H1));
78;(((A,(((B)#R0)#R1,#H0)),#H1));
79;(((A,(((B)#R1)#R0,#H1)),#H0));
80;(((((A)#R1,#H0),#H1),(B)#R0));
81;(((B,(#H0,#H1)),((A)#R1)#R0));
82;((((B)#R0)#R1,(A,(#H0,#H1))));
83;(((((B)#R1)#R0,(#H0,#H1)),A));
84;((((B,(A)#R0))#R1,(#H0,#H1)));
85;(((((B)#R0)#R1,(A,#H0)),#H1));
86;(((((A)#R0,B))#R1,(#H0,#H1)));
87;(((((A)#R0)#R1,(B,#H0)),#H1));
88;(((B,#H1),(((A)#R0)#R1,#H0)));
89;((A,(((B)#R1)#R0,(#H0,#H1))));
90;(((((A)#R1)#R0,(B,#H0)),#H1));
91;((((((A,B))#R1)#R0,#H1),#H0));
92;(((((A,B))#R0)#R1,(#H0,#H1)));
93;((((#H0)#R1,((A)#R0,B)),#H1));
94;(((((B)#R1,#H0),#H1),(A)#R0));
95;((((A,#H1))#R0,((B)#R1,#H0)));
96;((B,(((#H1)#R0,(A)#R1),#H0)));
97;(((B,#H1),(((A)#R0)#R1,#H0)));
98;((((A)#R0)#R1,((B,#H0),#H1)));
99;((((#H1)#R0,(A)#R1),(B,#H0)));
100;((((((B)#R1)#R0,A),#H0),#H1));
101;((((B)#R1,#H0),((A)#R0,#H1)));
102;(((#H0,#H1),(((B)#R0)#R1,A)));
103;(((((B)#R1,(A)#R0),#H1),#H0));
104;((((A,#H1))#R0,((B)#R1,#H0)));
105;(((#H1)#R0,((A,(B)#R1),#H0)));
106;(((B,#H1),((#H0)#R1,(A)#R0)));
107;(((#H0,#H1),(((A)#R0,B))#R1));
108;(((((A)#R1,(B)#R0),#H0),#H1));
109;(((A)#R1,((B)#R0,(#H0,#H1))));
110;(((((B)#R1)#R0,(A,#H1)),#H0));
111;(((B,#H1),((#H0)#R1,(A)#R0)));
112;((((A)#R0,(B,(#H0)#R1)),#H1));
113;(((((B)#R0)#R1,(A,#H0)),#H1));
114;((((B)#R0)#R1,((A,#H1),#H0)));
115;(((#H0)#R1,(((B)#R0,A),#H1)));
116;(((B)#R0,((A)#R1,(#H0,#H1))));
117;((((A)#R0)#R1,(B,(#H0,#H1))));
118;(((((B)#R0,(A)#R1),#H1),#H0));
119;((((B)#R1)#R0,((A,#H1),#H0)));
120;(((((B)#R1)#R0,A),(#H0,#H1)));
121;((((A)#R0)#R1,((B,#H0),#H1)));
122;(((B)#R0,((#H0,#H1),(A)#R1)));
123;(((((A)#R1)#R0,(#H0,#H1)),B));
124;((((A)#R0,#H1),((B)#R1,#H0)));
125;((((A)#R0,((B)#R1,#H0)),#H1));
126;(((((A,B))#R0)#R1,(#H0,#H1)));
127;((((A)#R0,((B,#H0))#R1),#H1));
128;((A,((((B)#R0)#R1,#H0),#H1)));
129;((((B)#R0)#R1,((A,#H0),#H1)));
130;(((#H0)#R1,((B,(A)#R0),#H1)));
131;(((((B,#H0))#R1,(A)#R0),#H1));
132;(((((B)#R1)#R0,(A,#H1)),#H0));
133;(((#H1)#R0,(A,((B)#R1,#H0))));
134;(((A,((B)#R0)#R1),(#H0,#H1)));
135;((((((B,A))#R1)#R0,#H1),#H0));
136;(((((B)#R1)#R0,(A,#H1)),#H0));
137;(((((A,B))#R0,(#H0)#R1),#H1));
138;((((A,((B)#R0)#R1),#H0),#H1));
139;((((B)#R1,#H0),((A)#R0,#H1)));
140;((((A,#H1),#H0),((B)#R1)#R0));
141;((((((B)#R1)#R0,#H1),#H0),A));
142;((((A)#R1,#H0),((B)#R0,#H1)));
143;(((B,#H1),(((A)#R0)#R1,#H0)));
144;((A,((#H0)#R1,((B)#R0,#H1))));
145;(((A)#R1,(((#H1)#R0,B),#H0)));
146;(((((A,#H1))#R0,(B)#R1),#H0));
147;(((((A,#H1))#R0,(B)#R1),#H0));
148;((((B,#H1))#R0,((A)#R1,#H0)));
149;((((B,#H1),#H0),((A)#R1)#R0));
150;(((((A)#R0,B))#R1,(#H0,#H1)));
151;((((#H0,#H1),A),((B)#R0)#R1));
152;((((#H0)#R1,((A)#R0,B)),#H1));
153;((((#H0)#R1,(B,(A)#R0)),#H1));
154;((((A)#R1)#R0,((B,#H0),#H1)));
155;(((#H0,#H1),(((B)#R0)#R1,A)));
156;((((B)#R1)#R0,(A,(#H0,#H1))));
157;((((((A)#R1,B))#R0,#H1),#H0));
158;((B,((((A)#R1)#R0,#H1),#H0)));
159;(((#H0)#R1,((A)#R0,(B,#H1))));
160;((A,(((#H1)#R0,(B)#R1),#H0)));
161;(((((B)#R1)#R0,(A,#H0)),#H1));
162;(((((A)#R0,#H1),(B)#R1),#H0));
163;(((#H0,#H1),(A,((B)#R0)#R1)));
164;((((A)#R0,((B)#R1,#H0)),#H1));
165;(((((A)#R0)#R1,(B,#H0)),#H1));
166;(((((A)#R1)#R0,(B,#H0)),#H1));
167;(((((A)#R1)#R0,B),(#H0,#H1)));
168;((((((A)#R1)#R0,B),#H0),#H1));
169;((((B)#R0,(#H0)#R1),(A,#H1)));
170;((((B)#R1)#R0,(A,(#H0,#H1))));
171;((((A)#R0)#R1,((B,#H0),#H1)));
