,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
0,0,2,1.0,[5],"['A', 'B']",None,False,None,0,0,"(((#H0,#H1),((B)#R1,(A)#R0)))"
1,1,2,0.5435644431995964,[5],['B'],A,True,None,0,1,"((((A,((B)#R1)#R0),#H0),#H1))"
2,2,2,0.5435644431995964,[5],['B'],A,True,None,0,2,"(((B)#R1,((A,(#H1)#R0),#H0)))"
3,3,2,0.9544340029249649,[5],['A'],B,False,None,1,3,"(((((B,#H1))#R0,(A)#R1),#H0))"
4,4,2,0.9544340029249649,[5],['B'],A,False,None,1,4,"((((A,#H1))#R0,((B)#R1,#H0)))"
5,5,2,0.5435644431995964,[5],['B'],A,False,None,1,5,"(((((B)#R0)#R1,(A,#H0)),#H1))"
6,6,2,0.5435644431995964,[5],['A'],B,False,None,1,6,"((((A)#R1)#R0,((B,#H1),#H0)))"
7,7,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7,"((((A)#R0,((B)#R1,#H0)),#H1))"
8,8,2,0.8112781244591328,[5],['B'],None,False,B,0,8,"(((A,(((B)#R0)#R1,#H0)),#H1))"
9,9,2,0.8112781244591328,[5],['B'],A,False,B,0,9,"((((B)#R1,#H0),((#H1)#R0,A)))"
10,10,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,10,"(((A)#R1,((B)#R0,(#H0,#H1))))"
11,11,2,0.9544340029249649,[5],['A'],B,False,None,1,11,"((((B,#H0))#R1,((A)#R0,#H1)))"
12,12,2,0.5435644431995964,[5],['A'],B,False,None,1,12,"(((((A)#R0)#R1,(B,#H0)),#H1))"
13,13,2,0.5435644431995964,[5],['B'],A,False,None,0,13,"((((B)#R1)#R0,((A,#H0),#H1)))"
14,14,2,0.8112781244591328,[5],['B'],A,False,B,0,14,"(((#H0,#H1),(((B)#R1)#R0,A)))"
15,15,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,15,"(((B)#R0,(((A)#R1,#H0),#H1)))"
16,16,2,1.0,[5],"['A', 'B']",None,False,None,0,16,"(((#H0,#H1),((B)#R1,(A)#R0)))"
17,17,2,1.0,[4],['B'],None,False,B,0,17,"(((((#H0)#R1,(B)#R0),#H1),A))"
18,18,2,0.5435644431995964,[5],['B'],A,False,None,1,18,"(((((B)#R1)#R0,(A,#H1)),#H0))"
19,19,2,0.5435644431995964,[5],['B'],A,False,None,0,19,"(((#H1)#R0,((B)#R1,(A,#H0))))"
20,20,2,0.5435644431995964,[5],['B'],A,False,None,0,20,"((((B)#R0)#R1,((A,#H1),#H0)))"
21,21,2,0.8112781244591328,[5],['A'],B,False,A,0,21,"((((#H0)#R1,(A)#R0),(B,#H1)))"
