Iteration;Newick
0;((((#H0)#R1,(A)#R0),(B,#H1)));
1;(((((A)#R0,(B)#R1),#H1),#H0));
2;((((((A)#R1)#R0,B),#H0),#H1));
3;((((B,((A)#R0)#R1),#H1),#H0));
4;(((((A)#R0,B))#R1,(#H0,#H1)));
5;(((((A)#R0,#H1),B),(#H0)#R1));
6;(((#H0,#H1),(A,((B)#R0)#R1)));
7;(((A,(((B)#R1)#R0,#H1)),#H0));
8;(((A)#R0,((#H0)#R1,(B,#H1))));
9;(((((B)#R1,(A)#R0),#H1),#H0));
10;(((((A)#R0,(B)#R1),#H1),#H0));
11;(((((A)#R0)#R1,(B,#H0)),#H1));
12;(((B)#R0,((A,(#H0)#R1),#H1)));
13;(((((A)#R0)#R1,(B,#H0)),#H1));
14;(((B,((#H0)#R1,(A)#R0)),#H1));
15;(((((A)#R1,(B)#R0),#H1),#H0));
16;(((((A)#R0)#R1,(#H0,#H1)),B));
17;(((B,(((A)#R1)#R0,#H1)),#H0));
18;(((((B)#R1)#R0,#H1),(A,#H0)));
19;(((B)#R0,((A)#R1,(#H0,#H1))));
20;(((((A)#R1)#R0,#H1),(B,#H0)));
21;(((#H1)#R0,((A)#R1,(B,#H0))));
22;(((((A)#R1)#R0,B),(#H0,#H1)));
23;((((A)#R0)#R1,((B,#H0),#H1)));
24;(((#H0)#R1,(((B,A))#R0,#H1)));
25;((((B,#H0))#R1,((A)#R0,#H1)));
26;((((A)#R1)#R0,((B,#H0),#H1)));
27;(((((A)#R0,(#H0)#R1),#H1),B));
28;(((B,#H1),((#H0)#R1,(A)#R0)));
29;((((A,(B)#R0))#R1,(#H0,#H1)));
30;((((A)#R1)#R0,((B,#H1),#H0)));
31;(((((A)#R1)#R0,(B,#H1)),#H0));
32;(((B,((A)#R0,#H1)),(#H0)#R1));
33;((((A)#R1,((B)#R0,#H1)),#H0));
34;(((#H0)#R1,((B,(A)#R0),#H1)));
35;(((((A,B))#R1,#H0),(#H1)#R0));
36;(((#H1)#R0,((B)#R1,(A,#H0))));
37;((((((B)#R1)#R0,#H1),A),#H0));
38;((((#H0)#R1,(B)#R0),(A,#H1)));
39;((((A)#R0)#R1,((#H0,#H1),B)));
40;(((((A,#H1))#R0,(B)#R1),#H0));
41;(((((B)#R1)#R0,#H1),(A,#H0)));
42;((((A)#R0)#R1,(B,(#H0,#H1))));
43;(((((A)#R1)#R0,#H1),(B,#H0)));
44;(((A)#R0,((B)#R1,(#H0,#H1))));
45;(((#H0)#R1,((B)#R0,(A,#H1))));
46;((((B)#R1)#R0,((A,#H1),#H0)));
47;((((B,#H1))#R0,((A)#R1,#H0)));
48;((((B)#R0)#R1,((A,#H1),#H0)));
49;(((A,((B)#R0,(#H0)#R1)),#H1));
50;(((((A)#R0)#R1,#H0),(B,#H1)));
51;(((#H0)#R1,(A,((B)#R0,#H1))));
52;(((((B)#R0)#R1,(A,#H0)),#H1));
53;((((A)#R1,((B,#H1))#R0),#H0));
54;(((A)#R0,((B,(#H0)#R1),#H1)));
55;(((#H1)#R0,((B)#R1,(A,#H0))));
56;((((B,#H1))#R0,((A)#R1,#H0)));
57;(((#H0,#H1),(((B)#R1)#R0,A)));
58;(((B,(((A)#R1)#R0,#H1)),#H0));
59;((((A,(B)#R0))#R1,(#H0,#H1)));
60;(((((B)#R0)#R1,(A,#H0)),#H1));
61;((((((A)#R0)#R1,#H0),#H1),B));
62;((((B,((A)#R1)#R0),#H1),#H0));
63;(((#H1)#R0,(((B,A))#R1,#H0)));
64;(((((A)#R0)#R1,B),(#H0,#H1)));
65;(((A,(((B)#R1)#R0,#H1)),#H0));
66;((((B)#R0)#R1,((#H0,#H1),A)));
67;(((((B)#R0,#H1),A),(#H0)#R1));
68;((((B,#H1))#R0,((A)#R1,#H0)));
69;(((((#H1)#R0,A),#H0),(B)#R1));
