,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
0,0,2,0.8112781244591328,[5],['A'],B,False,A,0,0,"((((#H0)#R1,(A)#R0),(B,#H1)))"
1,1,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,1,"(((((A)#R0,(B)#R1),#H1),#H0))"
2,2,2,0.5435644431995964,[5],['A'],B,True,None,0,2,"((((((A)#R1)#R0,B),#H0),#H1))"
3,3,2,0.5435644431995964,[5],['A'],B,True,None,0,3,"((((B,((A)#R0)#R1),#H1),#H0))"
4,4,2,0.9544340029249649,[5],['A'],B,False,None,1,4,"(((((A)#R0,B))#R1,(#H0,#H1)))"
5,5,2,0.8112781244591328,[5],['A'],None,False,A,0,5,"(((((A)#R0,#H1),B),(#H0)#R1))"
6,6,2,0.8112781244591328,[5],['B'],A,False,B,0,6,"(((#H0,#H1),(A,((B)#R0)#R1)))"
7,7,2,0.8112781244591328,[5],['B'],None,False,B,0,7,"(((A,(((B)#R1)#R0,#H1)),#H0))"
8,8,2,0.5435644431995964,[5],['A'],B,True,None,0,8,"(((A)#R0,((#H0)#R1,(B,#H1))))"
9,9,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9,"(((((B)#R1,(A)#R0),#H1),#H0))"
10,10,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,10,"(((((A)#R0,(B)#R1),#H1),#H0))"
11,11,2,0.5435644431995964,[5],['A'],B,False,None,1,11,"(((((A)#R0)#R1,(B,#H0)),#H1))"
12,12,2,0.5435644431995964,[5],['B'],A,True,None,0,12,"(((B)#R0,((A,(#H0)#R1),#H1)))"
13,13,2,0.5435644431995964,[5],['A'],B,False,None,1,13,"(((((A)#R0)#R1,(B,#H0)),#H1))"
14,14,2,0.8112781244591328,[5],['A'],None,False,A,0,14,"(((B,((#H0)#R1,(A)#R0)),#H1))"
15,15,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,15,"(((((A)#R1,(B)#R0),#H1),#H0))"
16,16,2,1.0,[4],['A'],None,False,A,0,16,"(((((A)#R0)#R1,(#H0,#H1)),B))"
17,17,2,0.8112781244591328,[5],['A'],None,False,A,0,17,"(((B,(((A)#R1)#R0,#H1)),#H0))"
18,18,2,0.8112781244591328,[5],['B'],A,False,B,0,18,"(((((B)#R1)#R0,#H1),(A,#H0)))"
19,19,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,19,"(((B)#R0,((A)#R1,(#H0,#H1))))"
20,20,2,0.8112781244591328,[5],['A'],B,False,A,0,20,"(((((A)#R1)#R0,#H1),(B,#H0)))"
21,21,2,0.5435644431995964,[5],['A'],B,False,None,0,21,"(((#H1)#R0,((A)#R1,(B,#H0))))"
22,22,2,0.8112781244591328,[5],['A'],B,False,A,0,22,"(((((A)#R1)#R0,B),(#H0,#H1)))"
23,23,2,0.5435644431995964,[5],['A'],B,False,None,1,23,"((((A)#R0)#R1,((B,#H0),#H1)))"
24,24,2,1.0,[4],[],None,False,None,0,24,"(((#H0)#R1,(((B,A))#R0,#H1)))"
25,25,2,0.9544340029249649,[5],['A'],B,False,None,1,25,"((((B,#H0))#R1,((A)#R0,#H1)))"
26,26,2,0.5435644431995964,[5],['A'],B,False,None,0,26,"((((A)#R1)#R0,((B,#H0),#H1)))"
27,27,2,1.0,[4],['A'],None,False,A,0,27,"(((((A)#R0,(#H0)#R1),#H1),B))"
28,28,2,0.8112781244591328,[5],['A'],B,False,A,0,28,"(((B,#H1),((#H0)#R1,(A)#R0)))"
29,29,2,0.9544340029249649,[5],['B'],A,False,None,1,29,"((((A,(B)#R0))#R1,(#H0,#H1)))"
30,30,2,0.5435644431995964,[5],['A'],B,False,None,1,30,"((((A)#R1)#R0,((B,#H1),#H0)))"
31,31,2,0.5435644431995964,[5],['A'],B,False,None,1,31,"(((((A)#R1)#R0,(B,#H1)),#H0))"
32,32,2,0.8112781244591328,[5],['A'],None,False,A,0,32,"(((B,((A)#R0,#H1)),(#H0)#R1))"
33,33,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,33,"((((A)#R1,((B)#R0,#H1)),#H0))"
34,34,2,0.5435644431995964,[5],['A'],B,False,None,1,34,"(((#H0)#R1,((B,(A)#R0),#H1)))"
35,35,2,1.0,[4],[],None,False,None,0,35,"(((((A,B))#R1,#H0),(#H1)#R0))"
36,36,2,0.5435644431995964,[5],['B'],A,False,None,0,36,"(((#H1)#R0,((B)#R1,(A,#H0))))"
37,37,2,0.8112781244591328,[5],['B'],None,False,B,0,37,"((((((B)#R1)#R0,#H1),A),#H0))"
38,38,2,0.8112781244591328,[5],['B'],A,False,B,0,38,"((((#H0)#R1,(B)#R0),(A,#H1)))"
39,39,2,0.8112781244591328,[5],['A'],None,False,A,0,39,"((((A)#R0)#R1,((#H0,#H1),B)))"
40,40,2,0.9544340029249649,[5],['B'],A,False,None,1,40,"(((((A,#H1))#R0,(B)#R1),#H0))"
41,41,2,0.8112781244591328,[5],['B'],A,False,B,0,41,"(((((B)#R1)#R0,#H1),(A,#H0)))"
42,42,2,0.8112781244591328,[5],['A'],None,False,A,0,42,"((((A)#R0)#R1,(B,(#H0,#H1))))"
43,43,2,0.8112781244591328,[5],['A'],B,False,A,0,43,"(((((A)#R1)#R0,#H1),(B,#H0)))"
44,44,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,44,"(((A)#R0,((B)#R1,(#H0,#H1))))"
45,45,2,0.5435644431995964,[5],['B'],A,False,None,0,45,"(((#H0)#R1,((B)#R0,(A,#H1))))"
