,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list
0,0,0,1.0,[],None,None,False
1,1,0,1.0,[],None,None,False
2,2,2,1.0,[4],B,None,False
3,3,2,1.0,[4],B,None,False
4,4,2,1.0,[4],B,None,False
5,5,2,1.0,[4],B,None,False
6,6,2,1.0,[4],B,None,False
7,7,2,0.9544340029249649,[5],B,None,False
8,8,2,0.8112781244591328,[5],A,B,False
9,9,2,0.9544340029249649,[5],A,None,False
10,10,2,0.5435644431995964,[5],B,A,False
11,11,1,0.8112781244591328,[3],A,B,True
12,12,2,1.0,[4],None,None,False
13,13,2,0.9544340029249649,[5],B,None,False
14,14,2,0.9544340029249649,[5],A,B,False
15,15,2,0.8112781244591328,[5],A,B,False
16,16,2,1.0,[4],None,None,False
17,17,2,0.9544340029249649,[5],B,A,False
18,18,2,0.9544340029249649,[5],B,None,False
19,19,2,1.0,[4],A,None,False
20,20,2,0.9544340029249649,[5],B,None,False
21,21,2,0.9544340029249649,[5],A,B,False
22,22,2,0.9544340029249649,[5],B,None,False
23,23,2,0.5435644431995964,[5],A,B,False
24,24,2,0.9544340029249649,[5],A,B,False
25,25,1,0.8112781244591328,[3],B,A,True
26,26,2,1.0,[4],B,None,False
27,27,2,0.8112781244591328,[5],A,None,False
28,28,2,0.9544340029249649,[5],A,None,False
29,29,2,0.5435644431995964,[5],A,B,True
30,30,2,0.8112781244591328,[5],B,A,False
31,31,2,0.5435644431995964,[5],B,A,False
32,32,2,0.9544340029249649,[5],B,None,False
33,33,2,1.0,[4],B,None,False
34,34,2,0.5435644431995964,[5],A,B,False
35,35,2,0.8112781244591328,[5],A,B,False
36,36,2,1.0,[4],A,None,False
37,37,2,1.0,[4],None,None,False
38,38,2,0.5435644431995964,[5],B,A,False
39,39,2,1.0,[4],B,None,False
40,40,1,0.8112781244591328,[3],A,B,True
41,41,2,0.5435644431995964,[5],A,B,False
42,42,2,1.0,[4],A,None,False
43,43,2,0.9544340029249649,[5],B,A,False
44,44,2,1.0,[4],None,None,False
45,45,2,1.0,[4],B,None,False
46,46,2,1.0,[4],A,None,False
47,47,2,1.0,[4],A,None,False
48,48,2,1.0,[4],A,None,False
49,49,2,1.0,[4],A,None,False
50,50,2,0.9544340029249649,[5],A,None,False
51,51,2,1.0,[4],B,None,False
52,52,2,1.0,[4],A,None,False
53,53,2,0.9544340029249649,[5],A,None,False
54,54,2,1.0,[4],None,None,False
55,55,2,1.0,[4],None,None,False
56,56,2,1.0,[4],None,None,False
57,57,2,1.0,[4],A,None,False
58,58,1,0.8112781244591328,[3],B,A,True
59,59,2,0.9544340029249649,[5],A,None,False
60,60,2,0.9544340029249649,[5],A,None,False
61,61,2,0.9544340029249649,[5],B,A,False
62,62,2,0.5435644431995964,[5],B,A,False
63,63,2,0.9544340029249649,[5],B,None,False
64,64,2,0.9544340029249649,[5],A,B,False
65,65,2,1.0,[4],None,None,False
66,66,2,1.0,[4],None,None,False
67,67,2,1.0,[4],None,None,False
68,68,2,1.0,[4],None,None,False
69,69,2,0.5435644431995964,[5],A,B,True
70,70,2,0.9544340029249649,[5],B,None,False
71,71,1,0.8112781244591328,[3],B,A,True
72,72,2,1.0,[4],A,None,False
73,73,2,1.0,[4],A,None,False
74,74,2,1.0,[4],None,None,False
75,75,2,1.0,[4],None,None,False
76,76,2,0.8112781244591328,[5],A,B,False
77,77,2,0.8112781244591328,[5],B,None,False
78,78,2,0.5435644431995964,[5],B,A,True
79,79,2,1.0,[4],None,None,False
80,80,2,1.0,[4],None,None,False
81,81,2,1.0,[4],None,None,False
82,82,2,1.0,[4],None,None,False
83,83,2,0.5435644431995964,[5],A,B,False
84,84,2,0.8112781244591328,[5],B,A,False
85,85,2,1.0,[4],None,None,False
86,86,2,1.0,[4],None,None,False
87,87,2,0.8112781244591328,[5],B,A,False
88,88,2,1.0,[4],None,None,False
89,89,2,0.8112781244591328,[5],B,A,False
90,90,2,0.9544340029249649,[5],A,None,False
91,91,2,0.8112781244591328,[5],B,A,False
92,92,2,0.5435644431995964,[5],B,A,False
93,93,2,0.5435644431995964,[5],A,B,False
94,94,2,1.0,[4],None,None,False
95,95,2,1.0,[4],None,None,False
96,96,2,1.0,[4],B,None,False
97,97,1,0.8112781244591328,[3],B,A,True
98,98,1,0.8112781244591328,[3],A,B,True
99,99,2,0.5435644431995964,[5],B,A,True
100,100,2,1.0,[4],B,None,False
101,101,2,1.0,[5],A,None,False
102,102,2,0.8112781244591328,[5],A,B,False
103,103,2,1.0,[4],None,None,False
104,104,1,0.8112781244591328,[3],A,B,True
105,105,0,1.0,[],None,None,False
106,106,1,0.8112781244591328,[3],A,B,True
107,107,2,0.8112781244591328,[5],A,None,False
108,108,2,1.0,[4],None,None,False
109,109,2,0.8112781244591328,[5],A,B,False
110,110,2,1.0,[4],B,None,False
111,111,2,1.0,[4],None,None,False
112,112,2,0.9544340029249649,[5],A,None,False
113,113,2,1.0,[4],A,None,False
114,114,2,1.0,[4],A,None,False
115,115,2,1.0,[4],A,None,False
116,116,2,1.0,[4],A,None,False
117,117,2,1.0,[4],A,None,False
118,118,2,1.0,[4],A,None,False
119,119,2,1.0,[4],A,None,False
120,120,2,1.0,[4],A,None,False
121,121,2,1.0,[4],A,None,False
122,122,2,1.0,[4],A,None,False
123,123,2,1.0,[4],A,None,False
124,124,2,1.0,[4],A,None,False
125,125,2,1.0,[4],A,None,False
126,126,2,1.0,[4],A,None,False
127,127,2,1.0,[4],A,None,False
128,128,2,1.0,[4],None,None,False
129,129,2,0.8112781244591328,[5],B,A,False
130,130,2,0.5435644431995964,[5],A,B,False
131,131,2,1.0,[4],B,None,False
132,132,2,1.0,[4],None,None,False
133,133,2,1.0,[4],None,None,False
134,134,2,1.0,[4],None,None,False
135,135,2,1.0,[4],None,None,False
136,136,2,1.0,[4],None,None,False
137,137,2,1.0,[4],None,None,False
138,138,2,1.0,[4],None,None,False
139,139,2,0.8112781244591328,[5],A,B,False
140,140,2,0.9544340029249649,[5],B,A,False
141,141,2,0.9544340029249649,[5],B,None,False
142,142,2,0.5435644431995964,[5],A,B,False
143,143,2,1.0,[4],None,None,False
144,144,2,1.0,[4],None,None,False
145,145,2,0.9544340029249649,[5],A,None,False
146,146,2,0.9544340029249649,[5],B,None,False
147,147,2,1.0,[4],B,None,False
148,148,2,1.0,[4],None,None,False
149,149,2,0.9544340029249649,[5],B,None,False
150,150,2,0.9544340029249649,[5],B,None,False
151,151,2,0.5435644431995964,[5],B,A,False
152,152,2,0.9544340029249649,[5],B,None,False
153,153,2,1.0,[4],None,None,False
154,154,2,0.9544340029249649,[5],B,None,False
155,155,2,0.5435644431995964,[5],A,B,False
156,156,2,0.5435644431995964,[5],A,B,True
157,157,2,0.9544340029249649,[5],A,None,False
158,158,2,0.5435644431995964,[5],A,B,False
159,159,2,1.0,[4],A,None,False
160,160,2,1.0,[4],None,None,False
161,161,2,0.9544340029249649,[5],A,None,False
162,162,2,0.5435644431995964,[5],B,A,False
163,163,2,1.0,[4],B,None,False
164,164,2,0.9544340029249649,[5],B,None,False
165,165,2,0.9544340029249649,[5],A,None,False
166,166,2,0.9544340029249649,[5],B,None,False
167,167,2,0.9544340029249649,[5],A,None,False
168,168,2,0.9544340029249649,[5],B,None,False
169,169,2,0.5435644431995964,[5],A,B,True
170,170,2,0.5435644431995964,[5],B,A,True
171,171,2,1.0,[4],None,None,False
172,172,2,1.0,[4],A,None,False
173,173,2,1.0,[4],A,None,False
174,174,2,1.0,[4],A,None,False
175,175,2,1.0,[4],A,None,False
176,176,2,1.0,[4],A,None,False
177,177,2,1.0,[4],A,None,False
178,178,2,1.0,[4],None,None,False
179,179,2,0.5435644431995964,[5],B,A,False
180,180,2,0.5435644431995964,[5],A,B,True
181,181,2,1.0,[4],B,None,False
182,182,2,1.0,[4],B,None,False
183,183,2,1.0,[4],B,None,False
184,184,1,0.8112781244591328,[3],A,B,True
185,185,2,0.9544340029249649,[5],A,B,False
186,186,2,0.5435644431995964,[5],B,A,True
